bird_id,colony,visit_count
L01428-RYYGM,LLOD_04,211
L01429-KMOO,SPRA_42,1512
L01430-BMWK,SPRA_42,653
L01431-BMWW,SPRA_42,210
L01432-RMYP,SPRA_42,1445
L01434-WMKK,SPRA_42,634
L01435-RMOY,SPRA_41,1
L01435-RMOY,SPRA_42,1489
L01436-OMBB,SPRA_01,11
L01436-OMBB,SPRA_34,1
L01436-OMBB,SPRA_42,1331
L01437-YMWP,SPRA_02,1
L01437-YMWP,SPRA_42,888
L01438-BMYY,SPRA_02,1
L01438-BMYY,SPRA_42,619
L01439-KMBR,SPRA_42,430
L01440-OMPK,SPRA_42,547
L01441-RMPK,SPRA_42,392
L01442-OMRP,SPRA_42,2599
L01443-RMRP,SPRA_41,1
L01443-RMRP,SPRA_42,1720
L01444-PMOW,SPRA_42,2158
L01445-PMRO,SPRA_41,1
L01445-PMRO,SPRA_42,1071
L01446-PMYB,SPRA_01,3
L01446-PMYB,SPRA_42,877
L01448-YMYP,SPRA_42,1134
L01449-WMYP,SPRA_41,1
L01449-WMYP,SPRA_42,1763
L01450-PMRK,SPRA_01,2
L01450-PMRK,SPRA_42,750
L01451-KMOP,SPRA_01,2
L01451-KMOP,SPRA_02,2
L01451-KMOP,SPRA_42,950
L01452-PMRR,SPRA_01,3
L01452-PMRR,SPRA_02,4
L01452-PMRR,SPRA_42,731
L01453-BMRP,SPRA_01,2
L01453-BMRP,SPRA_41,1
L01453-BMRP,SPRA_42,1433
L01454-OMBP,SPRA_42,779
L01456-PMPO,SPRA_34,293
L01456-PMPO,SPRA_42,2
L01456-PMPO,SPRA_46,417
L01457-WMPR,SPRA_42,1141
L01458-KMPR,SPRA_42,2118
L01459-PMOR,SPRA_02,1
L01459-PMOR,SPRA_34,1
L01459-PMOR,SPRA_41,1
L01459-PMOR,SPRA_42,834
L01460-PMBW,SPRA_42,709
L01461-BMYP,SPRA_41,381
L01461-BMYP,SPRA_42,243
L01462-WMWP,SPRA_42,980
L01463-WMBP,MSTO_28,1
L01463-WMBP,SPRA_01,2
L01463-WMBP,SPRA_34,1
L01463-WMBP,SPRA_42,666
L01464-RMWP,SPRA_41,284
L01464-RMWP,SPRA_42,585
L01465-PMWB,SPRA_42,1064
L01466-YMRP,SPRA_02,1
L01466-YMRP,SPRA_42,651
L01467-KMYP,SPRA_01,1
L01467-KMYP,SPRA_42,1689
L01468-MYGKK,MSTO_28,7
L01469-MYGKO,MSTO_28,108
L01469-MYGKO,MSTO_31,2
L01470-OMKK,SPRA_41,305
L01470-OMKK,SPRA_42,186
L01471-OYYM,LLOD_05,396
L01472-WKRM,LLOD_05,9
L01473-RWWM,LLOD_04,723
L01473-RWWM,LLOD_05,166
L01473-RWWM,LLOD_06,1
L01474-KWBM,LLOD_04,253
L01474-KWBM,LLOD_05,176
L01476-YKBM,LLOD_04,1
L01476-YKBM,LLOD_05,586
L01477-BWOM,LLOD_04,70
L01477-BWOM,LLOD_05,695
L01478-YRRM,LLOD_05,242
L01479-YYWM,LLOD_04,701
L01479-YYWM,LLOD_05,102
L01480-WYKM,LLOD_04,381
L01480-WYKM,LLOD_05,64
L01481-BOYM,LLOD_05,105
L01483-OOBM,LLOD_05,262
L01484-YWPM,LLOD_05,1540
L01485-WBWM,LLOD_05,19
L01487-YBWM,LLOD_04,766
L01487-YBWM,LLOD_12,23
L01487-YBWM,LLOD_17,6
L01489-WWYM,LLOD_04,982
L01489-WWYM,LLOD_05,3
L01490-OORM,LLOD_04,417
L01490-OORM,LLOD_05,3
L01490-OORM,LLOD_06,1
L01491-KMWW,SPRA_42,775
L01492-WMWO,SPRA_42,794
L01493-WMYK,SPRA_42,1428
L01494-RMRW,SPRA_42,1630
L01495-YMPB,SPRA_42,3
L01496-KWOM,LLOD_12,3
L01496-KWOM,LLOD_17,27
L01497-MPWR,MSTO_30,58
L01497-MPWR,MSTO_31,1
L01497-MPWR,SPRA_42,1
L01498-MOBP,MSTO_29,97
L01499-PMOK,SPRA_34,1
L01500-YMPO,SPRA_42,2
L01503-OYBM,LLOD_20,328
L01505-YYRM,LLOD_05,1
L01505-YYRM,LLOD_20,544
L01508-ROKM,LLOD_04,1
L01508-ROKM,LLOD_05,712
L01512-OYOM,LLOD_20,123
L01513-OWBM,LLOD_20,474
L01514-BKBM,LLOD_20,702
L01515-YKYM,LLOD_04,1
L01515-YKYM,LLOD_05,8
L01515-YKYM,LLOD_20,258
L01517-WRRM,LLOD_20,550
L01518-YOYM,LLOD_20,491
L01522-BROM,LLOD_20,183
L01523-OKOM,LLOD_05,4
L01523-OKOM,LLOD_20,2
L01526-RBYM,LLOD_20,621
L01528-BWKM,LLOD_20,1
L01530-WWOM,LLOD_04,5
L01530-WWOM,LLOD_20,1
